ABBAGNANO	アバニャーノ
ASCIOLLA	アショルラ
ASHCROFT	アッシュクロフト
ASHGABAT	アシガバット
ASHKENAZY	アシュケナージ
ASHWORTH	アシュウォース
ASSAD	アサド
ASTURIAS	アスツリアス
ATAL	アタル
ATALAY	アタライ
ATAMANOV	アタマノフ
ATHOS	エイソス
ATLANTA	アトランタ
ATLANTOV	アトラントフ
AUBERT	オベール
AUBREY	オーブリー
AUER	オーア
AUGUST	オーガスト
AUGUSTA	アウグスタ
AUKRUST	アウクルスト
AUREN	オーレン
AURISPA	アウリスパ
AUWERS	アウベルス
AXELSON	アクセルソン
AYO	アーヨ
AZNAVOUR	アズナブール
BAAL	バール
BACCELLI	バチェリ
BADGER	バジャー
BADLEY	バドレー
BADNER	バードナー
BAILLIE	ベーリー
BAKERSFIELD	ベーカーズフィールド
BAKLANOV	バクラノフ
BAKSHI	バクシ
BALCH	ボルチ
BALDUCCI	バルドゥッチ
BALDUNG	バルドゥング
BALEN	バーレン
BALENCIAGA	バレンシアガ
BALES	ベールズ
BALIN	バラン
BALLA	バルラ
BALLY	バイイ
BALMAIN	バルメイン
BALSAS	バルサ
BAMPTON	バンプトン
BANERJI	バナージ
BANNISTER	バニスター
BANTING	バンティング
BARANSON	バランソン
BARBAULD	バーボールド
BARDA	バルダ
BARENTS	バレンツ
BARKLEY	バークリ
BARKSDALE	バークスデール
BARLETT	バーレット
BARNARD	バーナード
BARRETTO	バレット
BARTOLI	バルトーリ
BARTOLOMMEO	バルトロメオ
BASCH	バッシュ
BASCHWITZ	バシュビツ
BASIL	バジル
BASSA	バッサ
BASSET	バセ
BAST	バースト
BATEMAN	ベイトマン
BATUR	バトゥル
BAUCUS	ボーカス
BAUGIN	ボージャン
BAUMAN	バウマン
BAUSCH	バウシュ
BAVADRA	ババンドラ
BAX	バックス
BAYES	ベーズ
BAYLOR	ベイラー
BAYLY	ベイリー
BAZILEVICH	バジレービッチ
BAZLEY	バズレイ
BEAN	ビーン
BEATON	ビートゥン
BEATTIE	ビーティー
BEAUHARNAIS	ボーアルネ
BEAUSSANT	ボーサン
BECCAFUMI	ベッカフーミ
BECHI	ベーキ
BECHTEL	ベヒテル
BECHTLER	ベヒトラー
BECK	ベック
BECKENBAUER	ベッケンバウアー
BECKNELL	ベックネル
BEERS	ビーアズ
BEGONA	ベゴーニャ
BEHESHTI	ベヘシュチ
BEILENSON	ベイレンソン
BELGRADE	ベルグラード
BELLA	ベラ
BELLENGER	ベランジェ
BELLEZZA	ベルレッツァ
BELLINSGAUZEN	ベリンスガウゼン
BELLMAN	ベルマン
BELOUSOV	ベロウーソフ
BELYAEV	ベリャーエフ
BENEDEK	ベイネデク
BENGHAZI	ベンガジ
BENGT	ベングト
BENKENDORF	ベンケンドルフ
BENNY	ベニー
BENTSEN	ベンツェン
BERCHTOLD	ベルヒトルト
BERGELL	バーゲル
BERGSMA	ブルフスマ
BERGSTEDT	ベルグステット
BERKLEY	バークリー
BERMAN	ベルマン
BERNARD	ベルナール
BERNARDO	バーナード
BERNARI	ベルナーリ
BERNBACHER	ベルンバッヒャー
BERNHART	バーンハート
BERTI	ベルティ
BERTILLON	ベルティヨン
BESNARD	ベナール
BESSET	ベセ
BESSIE	ベッシー
BESSON	ベッソン
BETJEMAN	ベチェマン
BETSY	ベツィー
BEUS	ベウス
BEZOBRAZOV	ベゾブラーゾフ
BEZOLD	ベーツォルト
BEZZENBERGER	ベッツェンベルガー
BIENVILLE	ビヤンビル
BIERMANN	ビーアマン
BIGNONE	ビニョーネ
BIK	ビク
BILLETDOUX	ビエドゥ
BILLINGTON	ビリントン
BINCHOIS	バンショア
BIRBAL	ビールバル
BIRGER	ビルゲル
BIRGITTA	ビルギッタ
BISCHOF	ビショフ
BISKUP	ビスクープ
BIVONA	ビボナ
BJERRE	ビェール
BJERRUM	ビエルム
BJORNVIG	ビョルンビー
BLACKETT	ブラケット
BLACKMAN	ブラックマン
BLACKWOOD	ブラックウッド
BLADEN	ブレーデン
BLAIN	ブラン
BLAKELOCK	ブレークロック
BLALOCK	ブレーロック
BLANCH	ブランチ
BLANPAIN	ブランパン
BLASETTI	ブラゼッティ
BLATT	ブラット
BLINDER	ブラインダー
BLITZSTEIN	ブリッツスタイン
BLOKHINTSEV	ブローヒンツェフ
BLOM	ブルム
BLOMBERG	ブロムベルイ
BLOUNT	ブラウント
BLYSTONE	ブライストーン
BODDY	ボディー
BOEKE	ベーケ
BOGDANOFF	ボグダノフ
BOGORODSKY	ボゴロドスキー
BOISSEVAIN	ボワセベン
BOK	ボック
BOLINGER	ボーリンジャー
BONAPARTE	ボナパルト
BONDS	ボンズ
BONE	ボーン
BONFA	ボンファ
BONGO	ボンゴ
BONILLA	ボニーヤ
BONINSEGNA	ボニンセーニャ
BONNOME	ボノム
BOORSTIN	ブーアスティン
BORELLI	ボレリ
BORGATTI	ボルガッティ
BORGHINI	ボルギーニ
BORGNINE	ボーグナイン
BORGOGNONE	ボルゴニョーネ
BORJA	ボルハ
BORNSTEIN	ボーンスタイン
BORROW	ボロー
BOSE	ボース
BOSETTI	ボセッティ
BOSKO	ボスコ
BOSSERT	ボッセルト
BOSWORTH	ボズワース
BOUGAINVILLE	ブーゲンビル
BOUMAN	バウマン
BOUQUET	ブーケ
BOURIN	ブーラン
BOURRIENNE	ブーリエンヌ
BOUVET	ブーベ
BOWRING	バウリング
BOY	ボイ
BOYCE	ボイス
BOYNTON	ボイントン
BRAATOY	プラトイ
BRACKENRIDGE	ブラッケンリッジ
BRADMAN	ブラッドマン
BRANDIS	ブランディス
BRANSTON	ブランストン
BRATTELI	ブラッテリ
BRAY	ブレー
BREAM	ブリーム
BRENNEIS	ブレンナイス
BRET	ブレ
BRETSCHNEIDER	ブレートシュナイダー
BREZHNEV	ブレジネフ
BRICE	ブライス
BRIDIE	ブライディ
BRIEFS	ブリーフス
BRIGITTE	ブリギッテ
BRILLANTES	ブリヤンテス
BRINELL	ブリネル
BRISCOE	ブリスコー
BROCH	ブロック
BROCHARD	ブロシャール
BRODERICK	ブロデリック
BROWNLOW	ブラウンロー
BROWNSTEIN	ブラウンスタイン
BRUNE	ブリュヌ
BRUNSCHWIG	ブルンシュウィク
BRUNTON	ブラントン
BRYCE	ブライス
BUCHAN	バカン
BUCHERER	ブーヘラー
BUCKINGHAMSHIRE	バッキンガムシャー
BUECHNER	ブッヒュナー
BUFF	ブフ
BUISSON	ビュイソン
BURBAGE	バーベッジ
BURGHARDT	バーグハート
BURGHAUSER	ブルクハウザー
BURKHARD	ブルクハルト
BURLEIGH	バーリー
BURMA	ビルマ
BURMAN	バーマン
BURNAM	バーナム
BURNETT	バーネット
BUSHMAN	ブッシュマン
BUSKIRK	バスカーク
BUSWELL	バズウェル
BUXBAUM	ブックスバウム
BYLAND	バイランド
CADILLAC	キャデラック
CADIZ	カディス
CAHN	カーン
CAILLARD	カイヤール
CALABRESE	カラブレーゼ
CALAME	カラム
CALDERON	カルデロン
CALDERWOOD	コールダウッド
CALGARY	カルガリー
CALLEJAS	カジェハス
CALMER	カーマー
CALMES	カルマス
CALVINO	カルビーノ
CAMBEFORT	カンプフォール
CAMBRELING	カンブルラン
CAMEROON	カメルーン
CAMPAN	カンパン
CAMPIN	カンピン
CAMPS	キャン
CAMY	キャミー
CANAN	キャノン
CANBERRA	キャンベラ
CANTOR	カンター
CAPELLE	カペレ
CAPITANI	カピターニ
CAPITANT	カピタン
CAPOLONGO	カポロンゴ
CAPPIELLO	カピエロ
CAPPUCCILLI	カップッチルリ
CAPRA	キャプラ
CAPRI	カプリ
CARD	カード
CARDIFF	カーディフ
CARDINE	カルディーヌ
CARIBOU	カリブー
CARLES	カルレス
CARMEL	カルメル
CARNES	カーンズ
CAROLA	カローラ
CARRINGTON	カーリントン
CARROTHERS	カロゾルス
CARY	キャリー
CASANOVA	カザノーバ
CASELLATO	カゼルラート
CASELLI	カセリ
CASH	キャッシュ
CASSATT	カサット
CASTELLO	カステロ
CASTILLO	カスティヨ
CASTRIES	カストリーズ
CATHCART	キャスカート
CATILINA	カティリナ
CAULEY	コーリー
CAXIAS	カシアス
CAY	ケイ
CELASUN	ジェラスン
CENNINI	チェンニーニ
CERAM	ツェーラム
CERMAK	サーマク
CERRUTI	セルッティ
CESAR	シーザー
CHABON	シェイボン
CHABRIER	シャブリエ
CHAISSON	チェイソン
CHAKRAVARTI	チョクロボルティー
CHALABALA	ハラバラ
CHALANDON	シャランドン
CHALUMEAU	シャリュモー
CHAMBERLIN	チェンバリン
CHAMBERS	チェンバーズ
CHAMPOLLION	シャンポリオン
CHAN	チャン
CHANDERNAGOR	シャンデルナゴール
CHANDOR	チャンダー
CHANDRA	チャンドラ
CHAPPELL	チャッペル
CHARDONNET	シャルドンネ
CHARIS	ハーリス
CHARLOT	シャロー
CHARVIN	シャルバン
CHASE	チェイス
CHATFIELD	チャトフィールド
CHATTANOOGA	チャタヌーガ
CHAULET	ショレー
CHAUTEMPS	ショータン
CHEKHOV	チェーホフ
CHEMNITZ	ケムニッツ
CHEVALLEY	シュバレー
CHEVENEMENT	シュベーヌマン
CHIAPELLI	キャペリ
CHICHESTER	チチェスター
CHICKEN	チキン
CHIESA	キエザ
CHILLINGWORTH	チリングワース
CHILTON	チルトン
CHIN	チン
CHODOS	チョドス
CHOQUET	ショケー
CHRISTINA	クリスティーナ
CHRISTOFFERSEN	クリストファーソン
CHRISTOPHERSEN	クリストファセン
CHUIKOV	チュイコフ
CHURCHILL	チャーチル
CIAMPI	シャンピ
CIGADA	チガーダ
CIMINO	シミノ
CIRIACO	チリアコ
CLAES	クラース
CLAPP	クラップ
CLARICE	クラリッセ
CLAVIUS	クラビウス
CLAYTON	クレイトン
CLEMENTE	クレメンテ
CLEMENTIS	クレメンティス
CLERMONT-FERRAND	クレルモンフェラン
CLIFF	クリフ
CLISSOLD	クリソルド
COBO	コボ
COLDEN	コールデン
COLERIDGE	コールリッジ
COLUCCIO	コルッチョ
COMOLLI	コモリ
CONCHON	コンション
CONINXLOO	コニンクスロー
CONN	コーン
CONNAUGHT	コンノート
CONNELLAN	コネラン
CONNOR	コナー
CONRADY	コンラディ
CONSTANTINO	コンスタンチノ
CONSTANTINOS	コンスタンチノス
CONTI	コンチ
CONWELL	コンウェル
COOLIDGE	クーリッジ
COON	クーン
COPELAND	コープランド
COPPEL	コッペル
CORAM	コーラム
CORAZZA	コラザ
CORBOZ	コルボ
CORNELISZ	コルネーリス
CORNWELL	コーンウェル
CORRADI	コラーディ
CORRAL	コラール
CORTONA	コルトーナ
COSSU	コッス
COULTON	コールタン
COURNOT	クールノ
COURTRAI	クルトレ
COUSTOU	クストゥ
COX	コックス
COYSEVOX	コアズボ
CRACKNELL	クラックネル
CREIZENACH	クライゼナハ
CREMIN	クレメン
CRISTINA	クリスティーナ
CRISWELL	クリスウェル
CROXTON	クロックストン
CSOKOR	チョコル
CUDWORTH	カドワース
CUMMING	カミング
CUMMINS	カミンズ
CUNNINGHAM	カニングハム
CUOMO	クオモ
CUREL	キュレル
CURLEY	カーリー
CVETKO	ツベトコ
CYNTHIA	シンシア
CZERWINSKI	ザウインスキー
CZOLBE	ツォルベ
DACH	ダッハ
DACHAU	ダハウ
DAHLANDER	ダランダー
DAHMER	ダーマ
DALEY	デイリー
DAM	ダム
DAMPIER	ダンピア
DAN	ダン
DANCOURT	ダンクール
DANIELSSON	ダニエルソン
DANILOFF	ダニロフ
DANNEMANN	ダンネマン
DANOV	ダノフ
DARLING	ダーリン
DARMSTADT	ダルムシュタット
DART	ダート
DARTMOUTH	ダートマス
DASSAULT	ダッソー
DAUBENTON	ドーバントン
DAUBER	ドーバー
DAUMIER	ドーミエ
DAUTHENDEY	ダウテンダイ
DAVES	デイブズ
DAVIDOVIC	ダビドビチ
DAVIDOW	ダビドウ
DAVIDS	デービズ
DEBS	デブス
DEBUSSY	ドビュッシー
DECKER	デッカー
DEEMS	ディームズ
DEKKER	デッカー
DELAWARE	デラウェア
DELIUS	デリアス
DELOGU	デローグ
DELTA	デルタ
DEMETZ	ドゥメッツ
DEMIDOVA	デミードワ
DEMUS	デームス
DENNER	デンナー
DENNIN	デニン
DENNISON	デニスン
DENON	デノン
DENT	デント
DEPEW	デピュー
DERLETH	ダーレス
DERNBURG	ダンバーク
DERRICK	デリック
DERTINGER	デルティンガー
DERWINSKI	ダーウィンスキー
DESCOMBES	デコンブ
DESMOULINS	デムーラン
DESNOS	デスノス
DESTLER	デスラー
DESVIGNES	デスバイン
DETERDING	デターディング
DEVANEY	デバネー
DEVONSHIRE	デボンシャー
DEWEY	デューイ
DIAL	ダイアル
DICK	ディック
DICKSON	ディクソン
DIEM	ディーム
DIENER	ディーナー
DIEUPART	デュパール
DILLARD	ディラード
DIMITROV	ディミトロフ
DINAN	ダイナン
DINWIDDIE	ディンウィディー
DIOUF	ディウフ
DIRKSEN	ダークセン
DITTMAN	ディットマン
DJAKARTA	ジャカルタ
DLAMINI	ラミニ
DOBRODINSKY	ドブロジンスキー
DOD	ドッド
DODOMA	ドドマ
DOHA	ドーハ
DOHERTY	ドーアティ
DOLGUN	ドルガン
DOLLAR	ダラー
DOMINGUEZ	ドミンゲス
DOMINICK	ドミニク
DOMINIQUE	ドミニーク
DONATI	ドナティ
DONNA	ドナ
DONNAN	ドナン
DONNAY	ドネー
DONNER	ドナー
DOOLITTLE	ドリトル
DORCHESTER	ドーチェスター
DORF	ドルフ
DOXIADIS	ドクシアディス
DOZY	ドージ
DRAGO	ドラゴ
DREIER	ドライア
DREVER	ドゥリーバー
DROR	ドロール
DUBININ	ドゥビーニン
DUBROVNIK	ドブロブニク
DUDOK	デュドック
DUKES	デュークス
DUMBADZE	ドムバーゼ
DUMITRU	ドミトル
DUMOUCHEL	デュムシェル
DUNCAN	ダンカン
DUNDEE	ダンディー
DUNNIGAN	ダニガン
DUNSANY	ダンセイニ
DUNSTAN	ダンスタン
DURAN	デュラン
DURANTE	ドゥランテ
DURKHEIM	デュルケーム
DUROV	ドゥーロフ
DUTSCHKE	ドゥチケ
DUVAL	デュバル
DUVERGER	デュベルジェ
EAGER	イーガー
EARLY	アーリー
EASON	イーソン
EASSON	エアッソン
EAST	イースト
EATON	イートン
EBBESEN	イブセン
EBBINGHAUS	エビングハウス
EBERLE	エバリー
EBHARDT	エープハルト
ECO	エーコ
EDINGER	エディンガー
EDITA	エディタ
EDMUND	エトムント
EECKHOUT	エークハウト
EFIMENKO	エフィメンコ
EGGAR	エガー
EGGERS	エッガース
EGILSSON	エギルソン
EHRHARDT	エールハルト
EHRLICHMAN	アーリックマン
EICHER	アイヒャー
EICHLER	アイヒラー
EICHNER	アイクナー
EINAR	エイナル
EINTHOVEN	アイントホーフェン
EISDORFER	アイスドーファー
EISENREICH	アイゼンライヒ
ELDER	エルダー
ELGART	エルガート
ELIJAH	エリヤ
ELLENBOGEN	エレンボーゲン
ELLIE	エリー
ELTINGE	エルティンジ
ELVEY	エルビ
ENDE	エンデ
ENGSTROM	エングストロム
ERDENE	エルデネ
ERFURT	エルフルト
ERLANDER	エルランデル
ERNESTI	エルネスティ
ERNESTINE	アーネスティン
ERVINE	アービン
ESPEJO	エスペホ
ESPERT	エスペル
ESPIN	エスピン
ESTER	エスター
ETHIOPIA	エチオピア
ETIENNE	エティエンヌ
EUCLID	ユークリッド
EUGEN	ユージン
EURICH	ユーリック
EVELINE	エブリン
EVERHART	エバーハート
EWELL	ユーエル
EYSER	エイゼル
EZER	エゼル
FABBRI	ファッブリ
FABIENNE	ファビェンヌ
FABIUNKE	ファビウンケ
FABRITIUS	ファブリティウス
FAGE	フェージ
FAIN	ファン
FAITH	フェイス
FAJANS	ファヤンス
FALIERI	ファリエーリ
FALKBERGET	ファルクベルゲ
FANTI	ファンティ
FARADAY	ファラデー
FARJEON	ファージョン
FARLOW	ファーロウ
FARMAN	ファルマン
FARMER	ファーマー
FARNESE	ファルネーゼ
FARNUM	ファーナム
FARRE	ファー
FARRINGTON	ファリントン
FATH	ファト
FAZAL	ファザール
FEDERN	フェダーン
FEDORCHENKO	フェドルチェンコ
FEDORENKO	フェドレンコ
FEELY	フィーリー
FEINHALS	ファインハルス
FELD	フェルド
FELLOWS	フェローズ
FELTIN	フェルタン
FENDLER	フェンドラー
FENNELLY	フェンリー
FENSKE	フェンスケ
FERDINAND	フェルディナンド
FERGER	フェルガー
FERNANDI	フェルナンディ
FERNBACH	ファーンバック
FERNEL	フェルネル
FERRARA	フェラーラ
FERRERO	フェレーロ
FERRINI	フェリーニ
FIEDLER	フィードラー
FIFER	ファイファー
FIGL	フィグル
FILAR	フィラール
FILDES	フィルデス
FILIPPESCHI	フィリッペスキ
FINDLAY	フィンドレー
FINE	ファイン
FINIGUERRA	フィニグエラ
FINK	フィンク
FINNEGAN	フィネガン
FIORI	フィオリ
FIRTH	ファース
FITELBERG	フィテルベルク
FITTS	フィッツ
FITZGIBBON	フィッツギボン
FITZWALTER	フィッツウォルター
FLACH	フラシュ
FLACK	フラック
FLAVIO	フラビオ
FLEMMING	フレミング
FLETCHER	フレッチャー
FLIPPO	フリッポ
FLORENCE	フロランス
FLORES	フローレス
FLORIDABLANCA	フロリダブランカ
FLORY	フローリー
FLOWER	フラワー
FLUSSER	フラッサー
FOCH	フォッシュ
FOCSA	フォクシャ
FOK	フォック
FOLDI	フォルディ
FOLZ	フォルツ
FOMIN	フォミーン
FOMINA	フォミーナ
FONVIZIN	フォンビージン
FOPPA	フォッパ
FORCADE	フォルカード
FORNER	フォーナー
FORSDYKE	フォースダイク
FORTES	フォルテス
FORTIER	フォティア
FORTUNATOV	フォルトゥナートフ
FOSSEY	フォセー
FOSSUM	フォサム
FOURCROY	フルクロア
FOURNET	フルネ
FOURNIER	フルニエ
FOY	フォア
FRAENKEL	フレンケル
FRAHM	フラーム
FRANCISCO	フランシスコ
FRANCKENSTEIN	フランケンシュタイン
FRANKENBURG	フランケンブルグ
FRANKENSTEIN	フランケンシュタイン
FRANKLIN	フランクリン
FRAPPIER	フラピエ
FREDDY	フレディ
FREDERICKSON	フレデリクソン
FREE	フリー
FREEMANTLE	フリーマントル
FRENZEL	フレンツェル
FRESNO	フレスノ
FRESSON	フレッソン
FRETWELL	フレットウェル
FREYE	フライ
FRIDAY	フライディ
FRIDMAN	フリドマン
FRIEDKIN	フリードキン
FRIEDLAENDER	フリートレンダー
FRIEND	フレンド
FRIMMER	フリマー
FRITJOF	フリッチョフ
FROBENIUS	フロベーニウス
FROBISHER	フロービシャー
FRUIN	フルーイン
FUGA	フーガ
FUGGER	フッガー
FUKA	フカ
FULDA	フルダ
FURRER	フラー
FUSSELL	ファッセル
GABIN	ギャバン
GABRIELLE	ガブリエル
GADZHIBEKOV	ガジベーコフ
GAGE	ゲイジ
GAHN	ガーン
GAIL	ゲール
GAIO	ガイオ
GAISFORD	ゲーズフォード
GALANTAY	ガランタイ
GALIN	ガーリン
GALLENGA	ガレンガ
GALLI	ガルリ
GAMBIA	ガンビア
GAMBKE	ガンプケ
GAMBOA	ガンボア
GANDY	ガンディー
GANZO	ガンゾ
GARBIN	ガルビン
GARBUZOV	ガルブーゾフ
GARDINI	ガルディーニ
GARFINKEL	ガーフィンケル
GARGIULO	ガルジューロ
GAROFALO	ガロファロ
GARTH	ガース
GARTON	ガートン
GATLING	ガトリング
GAUDRY	ゴードリー
GAUGUIN	ゴーガン
GAUSE	ゴース
GAUSS	ガウス
GAUTHIER	ゴーチエ
GAVSHON	ガブション
GEBAUER	ゲバウエル
GEDDES	ゲッデス
GEFFCKEN	ゲフケン
GEFFRARD	ジェフラール
GEFFROY	ジェフロア
GEIBEL	ガイベル
GELLERT	ゲラート
GELLY	ゲリー
GENSOUS	ジャンスース
GENTA	ジェンタ
GEOFFRAY	ジョフレ
GEORGINA	ジョージナ
GEORGIOS	ジョルジオ
GERSHWIN	ガーシュイン
GEVAERT	ジュバール
GIANNOTTI	ジャンノッティ
GIBBONS	ギボンズ
GIESE	ギーゼ
GIESEN	ギーゼン
GILLIS	ギリス
GILPIN	ギルピン
GINNER	ジンナー
GINZBOURG	ギンズブルグ
GIOVANINETTI	ジョバニネッティ
GIRISH	ギリッシュ
GIUSTI	ガスティ
GLACKENS	グラッケンズ
GLADDEN	グラッデン
GLADER	グレーダー
GLASS	グラース
GLAUBER	グラウバー
GLAZKOV	グラズコフ
GLEIM	グライム
GLINES	グラインズ
GLORIA	グロリア
GLOSSOP	グロッソップ
GLUCK	グルック
GMEINER	グマイナー
GOA	ゴア
GOBINEAU	ゴビノー
GODDARD	ゴダード
GODECHOT	ゴデショ
GOFMAN	ゴフマン
GOFORTH	ゴフォース
GOKEL	ゴケル
GOLA	ゴラ
GOLDONI	ゴルドーニ
GOLDSBROUGH	ゴールズブロ
GOLEIZOVSKY	ゴレイゾフスキー
GOODPASTER	グッドパスター
GOODRICH	グッドリッチ
GOODY	グディ
GOPAL	ゴパール
GORBACHEV	ゴルバチョフ
GORES	ゴアズ
GORMAN	ゴーマン
GOSSAGE	ゴセージ
GOTLIEB	ゴットリーブ
GOTOVAC	ゴトバツ
GOTTSCHALL	ゴットシャル
GOTTWALD	ゴットバルト
GOUDAREAU	グダロー
GOUGAUD	グゴー
GOUGH	ゴフ
GOULART	ゴラール
GOULD	グルード
GOURD	グール
GOURSAT	グルサ
GOWERS	ガワーズ
GOZMAN	ゴズマン
GRACCHUS	グラックス
GRAETZ	グレーツ
GRANBY	グランビー
GRATSIANOV	グラツィアノフ
GRATTAN	グラタン
GRECO	グレコ
GREDE	グレーデ
GREENMAN	グリーンマン
GREGOIRE	グレゴアール
GREITZER	グレイツァー
GRENADINES	グレナダショトウ
GRENARD	グルナール
GRENVILLE	グレンビル
GREVE	グリーブ
GRIFF	グリフ
GRIFFI	グリッフィ
GRILLO	グリロー
GRIMAULT	グリモー
GRINKER	グリンカー
GROBE	グローブ
GROGGER	グロッガー
GRONOV	グロノフ
GROOS	グロース
GROSSER	グロセール
GROSSETESTE	グローステスト
GROSVENOR	グローブナー
GRUELLE	グルーエル
GRUENTHER	グランサー
GRUPPE	グラップ
GUADALUPI	グアダルーピ
GUARESCHI	グァレスキ
GUARINI	グアリーニ
GUENTER	ギュンター
GUILLOT	ギヨ
GUIOT	ギオ
GULII	グーリィ
GULIN	グリン
GULLIN	グリン
GUMP	ガンプ
GUNDY	グンディ
GUNNAR	グンナー
GUNNEL	グンネル
GUPTILL	グプティル
GURLITT	グルリット
GUTFREUND	グットフロイント
GUTSTEIN	グートシュタイン
GUTTMAN	グットマン
GUTZEIT	グートツァイト
GWYN	グウィン
HAANPAA	ハーンパー
HAAS	アース
HABERMAS	ハーバーマス
HACKET	ハケット
HADLEY	ハドリー
HADLOCK	ハドロック
HAENISCH	ヘーニシュ
HAGEDORN	ハーゲドルン
HAGGARD	ハガード
HAIDINGER	ハイディンガー
HAIGHT	ヘイト
HAJDU	アイドゥー
HAKEN	ハーケン
HALE	ヘール
HALEM	ハレム
HALEY	ヘイリー
HALLDOR	ハルドール
HALPHEN	アルファン
HALSTED	ホールステッド
HAMLET	ハムレット
HAMMEN	ハーメン
HAMMOND	ハモンド
HAMP	アンプ
HAMPTON	ハンプトン
HANDKE	ハントケ
HANES	ヘインズ
HANEY	ヘイニー
HANNAFORD	ハナフォード
HANNAN	ハナン
HANNAY	ハネー
HANOI	ハノイ
HANSEN	ハンゼン
HAQ	ハク
HARALD	ハーラル
HARDOY	ハルドイ
HARRELL	ハレル
HARRIE	ハリー
HARRIGAN	ハリガン
HARRY	ハリー
HARTWIG	ハルトビヒ
HARVE	ハーブ
HARVEY	アルビー
HARVILL	ハービル
HASKELL	ハスケル
HASSAN	ハッサン
HASSANAL	ハッサナル
HATTON	ハットン
HAUDEBOURG	オードブール
HAWORTH	ハワース
HAX	ハックス
HAYES	ヘイズ
HAZARD	アザール
HAZLITT	ハズリット
HEBRA	ヘーブラ
HEDAYAT	ヘダーヤト
HEDDA	ヘッダ
HEHN	ヘーン
HEILMANN	ハイルマン
HEIMS	ハイムズ
HEINICKE	ハイニッケ
HEINRICH	ハインリッヒ
HEINZE	ハインゼ
HEISTER	ハイスター
HELGA	ヘルガ
HELLMAN	ヘルマン
HELMUT	ヘルムート
HELST	ヘルスト
HEMENWAY	ヘミンウェイ
HENCH	ヘンチ
HENCKELL	ヘンケル
HENNEQUIN	エヌカン
HENRICK	ヘンリック
HENSCHEL	ヘンシェル
HENSELT	ヘンゼルト
HENSEN	ヘンゼン
HEPBURN	ヘップバーン
HERBERT	ハーバート
HERBURGER	ヘルブルガー
HERDER	ヘルダー
HERDMAN	ハードマン
HEREN	ヘレン
HERFORD	ハーフォード
HERIOT	ヘリオット
HERM	ヘルム
HERNANDEZ	ヘルナンデス
HERON	ヘロン
HERPIN	エルパン
HERRHAUSEN	ヘルハウゼン
HERRICK	ヘーリック
HERRMANN	ハーマン
HERSEY	ハーシー
HERTA	ハータ
HERTH	ハース
HERVEY	ハーベイ
HESSEN	ヘッセン
HEYDT	ハイト
HIBBERT	ヒバート
HIGHMORE	ハイモア
HILDEBRAND	ヒルデブランド
HILLMAN	ヒルマン
HINMAN	ヒンマン
HITCHINGS	ヒッチングス
HLAVAC	ラバック
HOBBS	ホッブス
HOCHBERG	ホッホバーグ
HOCHMAN	ホックマン
HODGE	ホッジ
HODGSON	ホジソン
HODKINSON	ハドキンソン
HOECHSTETTER	ヘーヒシュテッター
HOEL	フール
HOELSCHER	ヘルシャー
HOENE	ヘーネ
HOFHAIMER	ホーフハイマー
HOLLES	ホリス
HOLLINGSWORTH	ホリングスワース
HOLMYARD	ホームヤード
