bronte	ברונטי
mey	מיי
wawrinka	ואורינקא
ronaldinho	רונאלדינהו
gerizim	גריזים
yorke	יורק
roitman	רויטמאן
ndikumana	נדיקומאנא
zaydun	זיידון
feng	פנג
morientes	מוריאנטס
daoudi	אלדאודי
malik	מאליק
makram	מקרם
latuff	לאטוף
bubernik	בוברניק
herzl	הרצל
bertrand	ברטראנד
tuva	טובא
aflaq	עפלק
hillary	הילארי
sumatra	סומטרה
degania	דגניה
yellowstone	ילוסטון
galsworthy	גאלזוורתי
socha	סוכא
farah	פארח
farag	פאראג
tudor	טודור
jomo	ג'ומו
benhassi	בנחסי
giorgos	ג'יורגוס
hajim	חאג'ים
sharir	שריר
grenet	גריניט
chivu	צ'יבו
mirbeau	מירבו
lahad	לחד
heintje	האין
steiner	סטיاנר
ndao	נדאו
spence	ספינס
danes	דיינס
akaki	אקאקי
yakhour	יאכור
porush	פורוש
hamit	חמיט
bonsai	בונסאי
dominica	דומיניקא
hamidou	חמידו
zetkin	זטקין
jakub	ג'אקוב
radek	ראדיק
houssay	הוסאי
helmut	הלמוט
abraham	אברהם
como	קומו
friz	פריז
valke	ואלק
abane	עבאן
happel	האפל
duffy	דאפי
zorin	זורין
mitchel	מיטשל
cate	קאטי
tadmor	טדמור
salandra	סאלאנדרא
shaukat	שאוקאט
gonnohyoe	גונוהיו
augusta	אוגוסטא
hong	הונג
afghani	אפגאני
basten	באסטן
saba	סאבא
toni	טוני
menasse	מינאסה
aristizabal	אריסטיזאבאל
akhmeteli	אכמיטילי
costanzo	קוסטאנזו
hrant	הראנט
laryea	לאריא
nohair	נוהייר
ri	רי
feldman	פלדמאן
navarre	נאבאר
lampard	לאמפארד
theodosius	תיודוסיוס
boco	בוקו
joris	יוריס
subait	סוביט
scandinavia	סקאנדינאביא
revaz	ריבאז
merkaz	מרכז
moshav	מושב
kitano	קיטאנו
boca	בוקא
lebert	ליברט
flamion	פלאמיון
goethals	גותאלס
boris	בוריס
petrus	פטרוס
herut	חירות
paintsil	פיינציל
uhrlau	אוהרלאו
nikolay	ניקולאי
finidi	פינידי
marcos	מארקוס
yaron	ירון
djilali	ג'ילאלי
hubbert	הוברט
jacqueline	ג'אקלין
terence	טירינס
rocco	רוקו
koolhaas	קולהאס
delson	דילסון
tynan	טינאן
oranim	אורנים
samy	סאמי
dinklage	דינקליג'
zewail	זוייל
amitav	אמיטב
guy	גאי
paolo	פאולו
raed	ראאד
helal	הלאל
daniela	דאניאלא
wiles	ואילז
majed	מג'ד
merkel	מירקל
mammedaly	מאמידאלי
mokhtar	מוחטאר
hamann	האמאן
gunnarsson	גונארסון
dulbecco	דולביקו
skoblar	סקובלאר
haifa	חיפה
meron	מירון
nussbaum	נוסבאום
robinson	רובנסון
saif	סאיף
jaycee	ג'ייסי
foeke	פוקי
starr	סטאר
zeitlin	זאיטלין
halberstam	האלברסטאם
lowenthal	לוינתאל
shobair	שובייר
mahalia	מאהאליא
mazloum	מזלום
daron	דארון
bonnet	בוניט
butenandt	בוטינאנט
christophe	קריסטוף
dieter	דיטר
netanyahu	נوניהו
masakazu	מאסאקאזו
tommy	טומי
bristol	בריסטול
abel	אבל
dallas	דאלאס
arslan	ארסלאן
nakshawani	נאקשוואני
amsterdam	אמסטרדאם
afghanistan	אפגנסיטאן
quaid	קוייד
jad	ג'אד
gad	גד
munir	מוניר
valdeir	ואלדייר
kampusch	קאמפוש
bagayoko	באגאיוקו
erhard	ארהארד
graziani	גראציאני
steffi	שטיפי
suskind	סוסקינד
narimene	נארימן
soler	סולר
lussenhoff	לוסינהוף
quan	קואן
polykleitos	פוליקליטוס
zondervan	זונדרבאן
federico	פידיריקו
luyindula	לויינדולא
valente	ואלנטי
nosrati	נוסרטי
meskhi	מיסכי
bola	בולא
naseer	נסיר
ivanovo	איבאנובו
elsamni	אלסמני
hilbert	הילברט
koechner	קושניר
torre	טורי
ryuji	ריוג'י
kiarostami	קיארוסטאמי
koichi	קויצ'י
bukhara	בוכארא
libby	ליבי
anthony	אנתוני
hecuba	היקובא
abba	אבא
pompidou	פומפידו
barnea	בארניא
trulli	טרולי
corzine	קורזאין
morton	מורטן
touro	טורו
detlev	דיטליב
tamar	תמר
yoritomo	יוריטומו
wislander	וסלנדר
elshafei	אלשאפעי
karen	קארן
saenko	סאינקו
silvio	סילביו
volz	וולץ
georges	ג'ורג'
vasilis	ואסיליס
raslan	רסלאן
patsatzoglou	פאצאצוגלו
eyvind	איבינד
denholm	דנהולם
fichman	פישמאן
nasser	נאסר
garadanow	גאראדאנוב
sabir	סאביר
sulakvelidze	סולאקבלידזה
taher	טאהר
new	ניו
patil	פאטיל
stefka	סטיפקא
kenyatta	קיניאטא
meiji	מייג'י
stepanakert	סטיפאנאקירט
brooking	ברוקינג
rosneft	רוסנפט
alan	אלן
hrvoje	הירבוי
neil	ניל
hashim	האשים
ulises	אוליסס
brixton	בריקסטון
denmark	דנמארק
henri	הנרי
kramnik	קראמניק
gibson	גיבסון
vedran	ודראן
kreisky	קרייסקי
morro	מורו
yokohama	יוקוהאמא
karpin	קארפן
mulenga	מולינגא
selena	סילינא
miyuki	מיוקי
kent	קנט
jose	חוסה
beiteinu	ביתנו
djebar	ג'באר
modise	מודיסי
bamako	באמאקו
yamagishi	יאמאגישי
brigham	בריגם
santon	סאנטון
yardley	יארדלי
ribeiro	ריביירו
fatih	פאטיח
fonda	פונדא
potocari	פוטוקארי
solow	סולו
bahi	באהי
charvet	טשארוויט
koda	קודא
kofi	קופי
bugzilla	בגזילא
helguera	הילגירא
mashego	מאשיגו
tyson	טאיסון
hollein	הוליין
melrose	מלרוז
julia	ג'וליא
kanye	קאנייה
sharbat	שרבאט
schaaf	שאף
palladino	פאלאדינו
bosko	בוסקו
ignac	איגנץ
preston	פריסטון
persson	פירסון
halhul	חלחול
mayne	מיין
levitsky	לויצקי
scala	סקאלא
negrila	נגרילא
stambachr	סטאמבאכר
keiser	קיסר
jairzinho	ג'ארזיניו
humssi	חומסי
dakota	דאקוטא
hani	האני
graham	גראהאם
cartier	קארטייה
gaby	גאבי
taube	טאוב
som	סום
theravada	תיראבאדא
trabelsi	טראבלסי
carmelo	קארמילו
decker	דיקר
guarino	גוארינו
otaif	עוטייף
sansom	סאנסום
bomis	בומיס
kwai	קואי
canova	קאנובא
dalida	דאלידא
jiayi	ג'יאי
wachsman	ואקסמאן
tobias	טובאיאס
vagner	ואגנר
bidatsu	בידאטסו
montana	מונטאנא
constantin	קונסטאנטין
kalinic	קאליניטש
seagal	סיגאל
medan	מידאן
fusako	פוסאקו
dominik	דומיניק
watson	ואטסון
mississippi	מיסיסיפי
natasa	נאטאסא
gilles	גיל
larijani	לאריג'אני
zanidpour	זאינאדפור
dwyane	דואין
juarez	ואריז
hoddle	הודל
simeone	סימיוני
timo	טימו
coase	קוס
qusay	קוסיי
torosidis	טורוסידיס
scofield	סקופילד
hydrography	האיג'רוגראפי
riedl	רידל
kalusha	קאלושא
kajava	קאיאווא
morissette	מוריסיט
meutstege	מוטסטיג
debbah	דיבא
caroline	קארולאין
rejewski	רג'וסקי
greenland	גרינלאנד
cristoforo	קריסטופורו
mila	מילא
zoro	זורו
tymoshenko	טימושינקו
jurkemik	יורקמיק
christie	קריסטי
suarez	סואריז
last	לאסט
futon	פוטון
melora	מילורא
adib	אדיב
dahl	דאל
salenko	סאלינקו
zico	זיקו
lauro	לאורו
evra	איברא
dante	דאנטה
iraqi	עיראקי
rolfes	רולפס
gauguin	גוגן
scholl	שול
shapira	שאפירא
zaccarelli	זאקארילי
panagoulias	פאנאגוליאס
ira	אירא
verner	ורנר
taborda	טאבורדא
maddalena	מאדאלינא
hansi	האנסי
garcia	גארסיא
catton	קאטון
sherwood	שרווד
liedholm	לידהולם
rolff	רולף
ronny	רוני
podolski	פודולסקי
adidas	אדידס
besson	בסון
connes	קן
jassem	ג'אסם
kateryna	קאטרינא
nordstrom	נורדסטרום
pharaon	פרעון
kasdan	קאסדאן
judt	ג'ודט
shustikov	שוסטיקוב
weitz	ויץ
ofra	עפרה
nawel	נואל
aosta	אוסטא
cross	קרוס
vance	ואנס
kornberg	קורנברג
mabrouk	מברוק
lena	לינה
nasim	נסים
mekan	מקאן
handel	האנדל
pjanic	פיאניטש
ezzaki	אזאקי
zuchardt	צוכארט
minoru	מינורו
montez	מונטיז
corluka	קורלוקא
darmian	דארמיאן
venkov	ונקוב
karloff	קארלוף
shays	שייז
hiroshi	הירושי
fayed	פאיד
leighton	לייטון
walker	ואלקר
stanmore	סטאנמור
zvonimir	זבונימיר
dourif	דוריף
barry	בארי
michihiro	מיצ'יהירו
quasimodo	קואזימודו
kalmykia	קאלמיקיא
salif	סאליף
suzanne	סוזאן
yamaguchi	יאמאגוצ'י
sibenik	סיביניק
neumann	נוימאן
lualua	לואלוא
mcdaniel	מקדאניאל
mortensen	מורטינסין
bryant	בראינט
uchida	אוצ'ידא
ferri	פירי
runje	רונג'י
kolo	קולו
kondratiev	קונדראטייב
colleter	קולטר
azd	אזד
narriman	נארימאן
patricia	פאטרישא
viet	וייט
naik	נאיק
quinn	קוין
hamsa	המסה
lobont	לובונט
meireles	מירילס
trotta	טרוטא
valdano	ואלדאנו
galis	גאליס
hernandez	הרנאנדיז
americana	אמריקאנא
lynch	לינץ'
koman	קומאן
kroldrup	קרולדרופ
mussolini	מוסוליני
viking	ואיקינג
sezen	סיזין
lahm	לאם
sviatoslav	סביאטוסלאב
bergius	בירגיוס
moller	מולר
babylon	באבילון
linderoth	לינדרות
mari	מארי
sitting	סיטינג
joschka	יושקא
brandts	בראנץ
parrish	פאריש
homnabad	הומנבאד
vic	ויק
allen	אלן
horacio	הוראסיו
enzo	אנזו
benni	בני
kobun	קובון
kusturica	קוסטוריצא
carola	קארולא
youssef	יוסף
contra	קונטרא
maxime	מאקסים
hastings	הייסטינגס
nilton	נילטון
mostovoi	מוסטובוי
harb	חארב
wislawa	ויסלאוא
maciej	מאסיג'
gursel	גורסל
winter	וינטר
vicini	ויצ'יני
nedved	נדביד
kadima	קדימה
ronaldo	רונאלדו
haykel	האיקל
kokichi	קוקיצ'י
gogol	גוגול
svetlana	סביטלאנא
dudamel	דודאמיל
auhah	עוהה
caro	קארו
pulitzer	פוליצר
salzburg	סאלזבורג
gris	גריס
sydney	סידני
heike	היק
xenophanes	קסינופאניס
halls	האלז
gide	גיד
amundsen	אמונדסן
koblenz	קובלנז
waldo	ואלדו
linvoy	לינבוי
rosh	רוש
feliciano	פיליסיאנו
kassai	קאסאי
barmos	בארמוס
praia	פראיא
materazzi	מאטיראצי
heaton	היטון
amor	עמור
lumumba	לומומבא
holl	הול
christoph	קריסטוף
burrell	בוריל
tver	טביר
mcenroe	מאקנרו
pietro	פייטרו
satsuki	סאצוקי
gemmei	גימיי
sarukhan	סארוכאן
xerces	זירסיז
duo	דואו
silkwood	סילקווד
lucille	לוסיל
fenelon	פנלון
rool	רול
canterbury	קאנטרברי
katayama	קאטאיאמא
lahzami	לחזאמי
dolmans	דולמאנז
pochettino	פוטשיטינו
sparta	ספארטא
zac	זאק
hausdorff	האוסדורף
quashie	קואשי
seko	סיקו
scheveningen	שיבינינגן
almeyda	אלמידא
vicente	ויסנטה
aaronsohn	ארונסון
gonzalez	גונזאלז
thesiger	תיסיגר
gael	גייל
mercury	מירקורי
kirsten	קירסטן
blackstone	בלאקסטון
hawatmeh	חוואטמה
kfoury	קפורי
kogyoku	קוגיוקו
paramor	פאראמור
lyon	ליון
heraclitus	היראקליטס
lorna	לורנא
venezia	ויניזיא
lazzaro	לאזארו
sylva	סילבא
francileudo	פראנסילודו
mnajed	מנאג'ד
sen	סן
woodrow	וודרו
jim	ג'ים
huppert	הופירט
aldair	אלדייר
edwards	אדוארדז
seifert	סיפירט
tomaso	טומאסו
yannis	יאניס
raef	ראאף
holly	הולי
jame	ג'יים
brin	ברין
craddock	קראדוק
reinaldo	רינאלדו
guccione	גוצ'יון
monti	מונטי
caligula	קאליגולא
koruturk	קורוטורק
lavoisier	לאבואזייה
dorsin	דורסן
masaki	מאסאקי
mendonca	מנדונקא
sushi	סושי
gleeson	גליסון
sinn	סין
kiselyov	קיסיליוב
paula	פאולא
mamet	מאמט
nefzi	נפזי
tibet	טיבט
ugyen	יוגיין
gazprom	גאזפרום
monica	מוניקא
isam	עיסאם
gibbs	גיבז
maroc	מארוק
uthman	עותמאן
givat	גבעת
stephen	סטיפן
more	מור
timberlake	טימברלייק
dragila	דראגילא
pasqualetti	פאסקואליטי
baecke	בקי
holodomor	הולודומור
moog	מוג
marjane	מרג'אן
mclean	מקלין
shaw	שו
demichelis	דימיצ'לאס
augsburg	אוגסברג
hokusai	הוקוסאי
warhol	וארהול
vishneva	וישניבא
porter	פורטר
wadie	ודיע
zalayeta	זאלאייטא
nakamatsu	נאקאמאצו
lear	ליר
madelung	מאדלונג
princess	פרינסס
bodo	בודו
milt	מילט
zuhair	זוהיר
famke	פאמקי
marisa	מאריסא
peoria	פיוריא
jacopo	יאקופו
travian	טראביאן
codina	קודינא
evo	איבו
marchetto	מארקיטו
movie	מובי
muslim	מוסלים
grabar	גראבאר
libar	ליבאר
hanke	האנקי
masaya	מאסאיא
karle	קארל
roberto	רוברטו
kipling	קיפלינג
ritsos	ריטסוס
inmarsat	אינמארסאט
zimmermann	זימרמאן
hume	היום
tolga	טולגא
poulantzas	פולאנצאס
carlebach	קארליבאך
naji	נאג'י
juana	חואנא
aleman	אלימאן
louise	לואיז
lambourde	לאמבורד
martina	מארטינא
pourpirar	פורפיראר
simone	סימון
berg	בירג
moutinho	מוטינהו
shahid	שהיד
qatar	קטר
lavie	לאבי
grella	גרילא
fiori	פיורי
tanit	טאניט
copernicus	קופרניקוס
microsoft	מאיקרוסופט
laura	לורא
vysotsky	ויסוצקי
sol	סול
english	אינגליש
violeau	ויולו
samitier	סאמיטייר
naftali	נפתלי
colin	קולין
yakushima	יאקושימא
erbati	ארבאטי
amar	עמאר
tiznit	טזניט
kalfat	קאלפאט
mobali	מובעלי
modiri	מודירי
mitoraj	מיטוראי
batu	באטו
chakib	שקיב
simpson	סימפסון
novotel	נובוטל
esteban	אסטבאן
bourdieu	בורדיו
zemin	זימין
brazauskas	בראזאוסקאס
ronnie	רוני
mikhail	מיכאיל
muren	מורן
delgado	דלגאדו
sher	שר
imbarek	אמבארק
cocard	קוקארד
miri	מירי
banach	באנאך
masing	מאסינג
landsteiner	לאנדשטאינר
wissem	ויסם
dae	דיי
